review_id,employee_id,review_year,rating,score,goals_met_pct,manager_recommendation,review_date
1,1,2023,Exceeds,4.8,41.5,Retain,2023-12-06
2,1,2024,Below,2.3,86.1,Retain,2024-12-14
3,1,2025,Meets,3.4,48.8,Retain,2025-12-10
4,2,2024,Exceeds,4.2,88.7,Retain,2024-12-20
5,2,2025,Meets,2.9,73.8,Retain,2025-11-18
6,3,2023,Meets,3.6,44.6,Retain,2023-11-26
7,3,2024,Meets,3.6,46.9,Retain,2024-12-24
8,3,2025,Below,2.3,40.1,Retain,2025-11-25
9,6,2023,Meets,3.7,100.0,Retain,2023-11-17
10,6,2024,Meets,3.9,92.0,Retain,2024-11-02
11,6,2025,Meets,3.3,75.1,Retain,2025-11-25
12,8,2024,Meets,3.1,40.3,Retain,2024-11-24
13,8,2025,Exceeds,4.1,72.6,Promote,2025-11-13
14,9,2024,Meets,2.9,80.8,Retain,2024-12-09
15,9,2025,Meets,3.0,83.3,Retain,2025-12-04
16,11,2023,Meets,3.0,41.8,Retain,2023-12-26
17,11,2024,Exceeds,4.6,47.3,Retain,2024-12-17
18,11,2025,Exceeds,4.6,70.4,Promote,2025-12-14
19,12,2023,Below,2.4,88.5,Retain,2023-11-21
20,12,2024,Meets,3.5,68.5,Retain,2024-11-25
21,12,2025,Below,2.5,47.4,Retain,2025-12-17
22,14,2023,PIP,1.3,93.5,Exit,2023-12-01
23,14,2024,Meets,3.4,61.1,Retain,2024-11-23
24,14,2025,Exceeds,5.0,66.2,Promote,2025-11-24
25,17,2023,Meets,3.2,43.8,Retain,2023-12-13
26,17,2024,PIP,1.2,71.0,Exit,2024-12-11
27,17,2025,Meets,3.2,84.7,Retain,2025-12-09
28,18,2025,Below,1.9,63.9,PIP,2025-11-22
29,19,2023,Exceeds,4.4,72.0,Promote,2023-12-26
30,19,2024,Meets,3.1,78.6,Retain,2024-11-02
31,19,2025,Meets,2.9,56.7,Retain,2025-11-01
32,20,2023,Meets,3.8,78.8,Retain,2023-12-08
33,20,2024,Below,2.6,83.6,Retain,2024-11-07
34,20,2025,Exceeds,4.0,66.8,Promote,2025-12-04
35,21,2023,Meets,3.7,47.5,Retain,2023-12-11
36,21,2024,Meets,3.7,93.8,Retain,2024-12-04
37,21,2025,Exceeds,4.2,50.9,Promote,2025-11-15
38,22,2023,Below,2.5,51.8,Retain,2023-12-21
39,22,2024,Below,2.0,69.2,PIP,2024-11-23
40,22,2025,Meets,2.9,75.7,Retain,2025-11-16
41,23,2023,PIP,1.2,45.6,PIP,2023-11-24
42,23,2024,Meets,3.5,52.9,Retain,2024-12-07
43,23,2025,Meets,2.9,53.8,Retain,2025-12-04
44,24,2023,Exceeds,4.2,58.0,Promote,2023-11-28
45,24,2024,Meets,3.2,89.8,Retain,2024-11-06
46,24,2025,Exceeds,4.1,56.1,Promote,2025-11-13
47,25,2024,Meets,3.6,89.9,Retain,2024-11-17
48,25,2025,Meets,3.8,94.2,Retain,2025-12-05
49,26,2024,Meets,3.0,53.5,Retain,2024-11-04
50,26,2025,Exceeds,4.3,70.7,Promote,2025-11-08
51,27,2023,Exceeds,4.9,53.0,Promote,2023-12-04
52,27,2024,Meets,3.7,64.4,Retain,2024-11-11
53,27,2025,Meets,3.6,61.5,Retain,2025-12-10
54,28,2023,Exceeds,4.7,91.3,Retain,2023-12-23
55,28,2024,Meets,3.6,55.4,Retain,2024-11-27
56,28,2025,Meets,3.5,45.4,Retain,2025-11-17
57,30,2024,PIP,1.3,58.9,PIP,2024-12-06
58,30,2025,Meets,3.8,54.4,Retain,2025-11-01
59,31,2025,Exceeds,4.9,78.7,Retain,2025-11-27
60,32,2023,Exceeds,4.0,80.8,Promote,2023-12-21
61,32,2024,Meets,3.6,56.1,Retain,2024-11-19
62,32,2025,Meets,3.9,50.8,Retain,2025-12-14
63,33,2023,Meets,3.2,90.6,Retain,2023-11-18
64,33,2024,Meets,3.0,41.7,Retain,2024-11-07
65,33,2025,Meets,3.7,78.3,Retain,2025-11-08
66,34,2025,Meets,3.9,78.2,Retain,2025-11-21
67,36,2023,Meets,3.5,66.7,Retain,2023-12-06
68,36,2024,Meets,2.9,62.3,Retain,2024-11-13
69,36,2025,Meets,2.8,43.8,Retain,2025-12-25
70,37,2023,Meets,3.1,68.4,Retain,2023-11-20
71,37,2024,Meets,3.2,62.9,Retain,2024-11-04
72,37,2025,Exceeds,4.9,69.8,Retain,2025-11-19
73,38,2023,Meets,3.1,47.2,Retain,2023-11-25
74,39,2023,Exceeds,5.0,67.3,Promote,2023-12-15
75,39,2024,Meets,3.5,94.6,Retain,2024-11-10
76,39,2025,Meets,3.0,95.8,Retain,2025-12-27
77,40,2023,PIP,1.3,85.2,PIP,2023-11-22
78,40,2024,Meets,3.8,83.2,Retain,2024-11-13
79,40,2025,Below,2.3,52.7,Retain,2025-11-25
80,42,2025,Meets,3.8,91.8,Retain,2025-11-19
81,43,2023,Meets,3.5,45.6,Retain,2023-12-15
82,43,2024,Exceeds,4.3,63.8,Retain,2024-11-26
83,43,2025,Meets,3.6,69.5,Retain,2025-12-14
84,45,2023,Meets,3.6,47.1,Retain,2023-12-26
85,45,2024,Meets,3.0,81.0,Retain,2024-11-26
86,45,2025,Exceeds,4.1,71.9,Retain,2025-12-08
