salary_id,employee_id,effective_date,base_salary,bonus_pct,currency,change_reason
1,1,2020-07-13,264500.0,20.8,USD,Hire
2,1,2025-02-24,288900.0,7.9,USD,Promotion
3,2,2023-10-13,134000.0,10.5,USD,Hire
4,2,2025-11-27,136700.0,7.0,USD,Merit Increase
5,3,2020-09-15,292200.0,12.5,USD,Hire
6,3,2025-08-30,326000.0,19.6,USD,Promotion
7,3,2025-09-29,367500.0,26.4,USD,Promotion
8,4,2025-02-08,344600.0,19.0,USD,Hire
9,5,2025-12-16,138000.0,22.8,USD,Hire
10,6,2022-01-26,74800.0,12.8,USD,Hire
11,6,2024-04-02,78000.0,11.3,USD,Merit Increase
12,6,2023-09-03,80900.0,9.7,USD,Merit Increase
13,7,2025-06-29,142100.0,10.5,USD,Hire
14,7,2026-02-27,151400.0,9.9,USD,Merit Increase
15,7,2026-01-28,156300.0,29.2,USD,Merit Increase
16,8,2023-08-23,113400.0,12.3,USD,Hire
17,8,2024-06-10,120800.0,28.5,USD,Merit Increase
18,8,2026-03-12,124700.0,10.4,USD,Merit Increase
19,8,2024-11-13,132300.0,11.9,USD,Merit Increase
20,9,2023-02-04,241100.0,20.2,USD,Hire
21,9,2026-05-02,275800.0,25.3,USD,Promotion
22,10,2025-11-09,164800.0,9.1,USD,Hire
23,10,2026-05-13,174500.0,18.3,USD,Merit Increase
24,10,2026-05-19,186200.0,25.3,USD,Merit Increase
25,11,2021-09-22,62700.0,18.8,USD,Hire
26,11,2025-10-31,69500.0,5.5,USD,Promotion
27,11,2023-06-30,73500.0,14.3,USD,Promotion
28,11,2022-04-03,73500.0,15.8,USD,Merit Increase
29,12,2021-12-12,95700.0,20.7,USD,Hire
30,13,2017-10-20,340100.0,21.8,USD,Hire
31,13,2020-10-20,357100.0,25.1,USD,Merit Increase
32,14,2017-09-26,179700.0,11.9,USD,Hire
33,14,2019-05-17,190500.0,24.4,USD,Merit Increase
34,14,2022-07-25,197800.0,10.4,USD,Merit Increase
35,15,2018-07-27,175900.0,20.4,USD,Hire
36,15,2021-02-12,182200.0,29.3,USD,Merit Increase
37,15,2019-04-18,189000.0,17.2,USD,Merit Increase
38,16,2025-01-25,220400.0,15.7,USD,Hire
39,17,2016-12-20,85000.0,17.6,USD,Hire
40,18,2024-08-17,242700.0,14.1,USD,Hire
41,18,2025-09-28,247800.0,20.9,USD,Merit Increase
42,19,2020-06-23,184700.0,13.0,USD,Hire
43,19,2021-10-14,196600.0,20.2,USD,Merit Increase
44,20,2017-07-20,122300.0,6.4,USD,Hire
45,20,2025-08-19,141500.0,12.1,USD,Promotion
46,21,2018-12-27,144100.0,6.6,USD,Hire
47,21,2026-01-16,157200.0,13.6,USD,Promotion
48,22,2019-01-20,112100.0,15.5,USD,Hire
49,22,2024-09-21,118700.0,20.9,USD,Adjustment
50,23,2017-10-06,181500.0,20.5,USD,Hire
